Go,52
Mediterranean Avenue,269
Community Chest,265
Baltic Avenue,272
Income Tax,239
Reading Railroad,303
Oriental Avenue,258
Chance,255
Vermont Avenue,274
Connecticut Avenue,260
Jail,255
St. Charles Place,285
Electric Company,353
States Avenue,303
Virginia Avenue,324
Pennsylvania Railroad,383
St. James Place,323
Community Chest,361
Tennessee Avenue,320
New York Avenue,376
Free Parking,356
Kentucky Avenue,349
Chance,345
Indiana Avenue,350
Illinois Avenue,338
B&O Railroad,369
Atlantic Avenue,322
Ventnor Avenue,320
Water Works,341
Marvin Gardens,311
Go To Jail,333
Pacific Avenue,313
North Carolina Avenue,304
Community Chest,328
Pennsylvania Avenue,308
Short Line Railroad,266
Chance,235
Park Place,248
Luxury Tax,262
Boardwalk,295

