Go,5465
Mediterranean Avenue,27168
Community Chest,27103
Baltic Avenue,26087
Income Tax,26362
Reading Railroad,28206
Oriental Avenue,27268
Chance,27333
Vermont Avenue,27507
Connecticut Avenue,26690
Jail,26480
St. Charles Place,27946
Electric Company,32967
States Avenue,31489
Virginia Avenue,33420
Pennsylvania Railroad,37683
St. James Place,34733
Community Chest,34709
Tennessee Avenue,34360
New York Avenue,33495
Free Parking,33130
Kentucky Avenue,34162
Chance,34261
Indiana Avenue,34136
Illinois Avenue,33815
B&O Railroad,35397
Atlantic Avenue,32671
Ventnor Avenue,32762
Water Works,34168
Marvin Gardens,32369
Go To Jail,32736
Pacific Avenue,33236
North Carolina Avenue,31657
Community Chest,30265
Pennsylvania Avenue,29106
Short Line Railroad,27254
Chance,25852
Park Place,26278
Luxury Tax,26857
Boardwalk,26870

