Go,59
Mediterranean Avenue,294
Community Chest,271
Baltic Avenue,275
Income Tax,277
Reading Railroad,307
Oriental Avenue,305
Chance,305
Vermont Avenue,260
Connecticut Avenue,267
Jail,280
St. Charles Place,310
Electric Company,335
States Avenue,352
Virginia Avenue,316
Pennsylvania Railroad,393
St. James Place,371
Community Chest,354
Tennessee Avenue,353
New York Avenue,373
Free Parking,310
Kentucky Avenue,355
Chance,362
Indiana Avenue,366
Illinois Avenue,342
B&O Railroad,356
Atlantic Avenue,368
Ventnor Avenue,330
Water Works,352
Marvin Gardens,340
Go To Jail,347
Pacific Avenue,325
North Carolina Avenue,326
Community Chest,322
Pennsylvania Avenue,288
Short Line Railroad,300
Chance,280
Park Place,252
Luxury Tax,234
Boardwalk,300

